# InputID	ID	Mag	Magerr	RA	Decl	MJD	Blend
J0228+3953	1140011013334	18.32	0.12	37.04605	39.88547	54770.35718	0
J0228+3953	1140011013334	18.67	0.14	37.04585	39.88500	55184.21235	0
J0228+3953	1140011013334	18.96	0.16	37.04603	39.88505	55184.21829	0
J0228+3953	1140011013334	18.47	0.13	37.04591	39.88511	55184.22410	0
J0228+3953	1140011013334	18.63	0.14	37.04602	39.88528	55184.22985	0
J0228+3953	1140011013334	18.79	0.15	37.04589	39.88524	55144.32267	0
J0228+3953	1140011013334	18.28	0.12	37.04616	39.88528	55144.32876	0
J0228+3953	1140011013334	18.68	0.15	37.04604	39.88546	55144.33479	0
J0228+3953	1140011013334	18.51	0.14	37.04588	39.88488	55144.34092	0
J0228+3953	1140011013334	18.64	0.14	37.04595	39.88508	55154.33371	0
J0228+3953	1140011013334	18.61	0.14	37.04591	39.88520	55154.34071	0
J0228+3953	1140011013334	18.63	0.14	37.04613	39.88491	55154.34769	0
J0228+3953	1140011013334	18.75	0.15	37.04644	39.88503	55154.35473	0
J0228+3953	1140011013334	18.70	0.15	37.04606	39.88480	55121.28439	0
J0228+3953	1140011013334	18.95	0.16	37.04614	39.88504	55121.29159	0
J0228+3953	1140011013334	18.75	0.15	37.04611	39.88558	55121.29887	0
J0228+3953	1140011013334	18.64	0.14	37.04597	39.88522	55121.30615	0
J0228+3953	1140011013334	18.78	0.17	37.04599	39.88500	55104.33984	0
J0228+3953	1140011013334	18.75	0.16	37.04635	39.88533	55104.34507	0
J0228+3953	1140011013334	18.70	0.16	37.04587	39.88481	55104.35039	0
J0228+3953	1140011013334	18.86	0.18	37.04604	39.88520	55104.35586	0
J0228+3953	1140011013334	18.29	0.12	37.04608	39.88515	55537.22608	0
J0228+3953	1140011013334	18.48	0.14	37.04604	39.88541	55537.23407	0
J0228+3953	1140011013334	18.47	0.15	37.04593	39.88498	55537.23804	0
J0228+3953	1140011013334	18.85	0.16	37.04562	39.88494	55243.13368	0
J0228+3953	1140011013334	18.77	0.15	37.04590	39.88497	55243.13829	0
J0228+3953	1140011013334	18.60	0.14	37.04590	39.88498	55243.14289	0
J0228+3953	1140011013334	19.01	0.17	37.04593	39.88535	55243.14753	0
J0228+3953	1140011013334	18.55	0.14	37.04611	39.88499	55515.24316	0
J0228+3953	1140011013334	18.55	0.14	37.04610	39.88506	55515.25199	0
J0228+3953	1140011013334	18.45	0.13	37.04569	39.88535	55515.25639	0
J0228+3953	1140011013334	18.77	0.15	37.04616	39.88538	55479.28469	0
J0228+3953	1140011013334	18.60	0.14	37.04626	39.88512	55479.29649	0
J0228+3953	1140011013334	18.75	0.15	37.04611	39.88505	55479.30256	0
J0228+3953	1140011013334	18.49	0.14	37.04597	39.88545	55488.16897	0
J0228+3953	1140011013334	19.20	0.19	37.04606	39.88500	55488.17354	0
J0228+3953	1140011013334	18.53	0.14	37.04604	39.88482	55500.21120	0
J0228+3953	1140011013334	18.70	0.15	37.04621	39.88513	55500.22306	0
J0228+3953	1140011013334	18.57	0.14	37.04606	39.88538	55500.22902	0
J0228+3953	1140011013334	18.70	0.15	37.04618	39.88486	55869.14106	0
J0228+3953	1140011013334	18.79	0.16	37.04591	39.88533	55869.14896	0
J0228+3953	1140011013334	18.61	0.14	37.04620	39.88554	55869.15680	0
